Masindi,29.83,38.98,97.21,159.07,135.48,90.41,102.46,138.49,152.73,179.9,139.68,51.9
Moroto,13.07,21.48,55.76,96.94,107.99,82.42,118.47,118.31,63.23,72.12,43.8,27.08
Nakapiripirit,23.03,29.31,74.69,123.7,134.65,94.93,127.29,144.17,93.12,120.83,61.11,34.95
Namutumba,70.28,61.07,132.39,203.81,182.55,108.17,80.23,118.2,129.92,187.9,135.93,94.41
Kibuku,56.77,52.04,120.45,190.57,182.62,117.73,99.2,145.2,134.84,181.4,114.32,78.61
Napak,16.95,25.77,68.82,113.21,125.36,93.24,129.84,145.74,92.69,113.08,60.63,31.4
Kiboga,47.8,55.63,121.73,151.15,124.27,63.03,60.45,100.15,133.46,170.24,151.34,65.57
Moyo,6.97,18.27,49.84,107.57,118.62,117.38,142.18,154.92,131.57,163.41,78.52,20.21
Nebbi,15.16,22.49,67.89,115.21,103.92,101.42,125.21,149.11,145.24,169.23,114.92,30.71
Ngora,42.34,43.41,110.05,175.26,176.32,114.89,117.15,165.14,137.61,183.83,100.79,61.61
Kaberamaido,35.88,40.11,104.64,168.61,173.13,107.27,116.03,168.64,154.3,192.73,112.56,55.05
Katakwi,25.72,32.48,87.78,140.28,149.94,100.81,129.84,161.75,118.12,155.16,78.17,40.86
Buhweju,63.78,61.46,121.03,124.67,95.21,59.79,36,82.51,122.17,154.54,146.14,90.46
Kampala,88.35,70.4,155.53,198.2,169.93,93.63,59.34,77.01,114.62,166.73,157.5,120.84
Kiruhura,61.28,60.9,126.35,133.22,111.51,49.7,35.61,76.75,124.31,154.65,147.41,91.68
Ntoroko,50.96,48.23,99.65,132.7,114.74,75.52,71.72,111.48,127.53,169.79,137.59,56.74
Kamwenge,48.95,54.67,108.18,127.76,99.38,58.17,44.28,83.35,121.68,159.13,135.47,71.18
Kanungu,73.69,65.62,104.3,105.82,90.93,53.29,43.19,76.37,106.73,127.68,119.54,89.37
Kaabong,12.88,18.34,47.21,96.71,100.84,99.1,132.96,136.44,70.75,70.49,47.28,25.47
Kaliro,59.8,55.26,127.26,194.77,174.33,108.25,92.28,137.2,141.22,193.68,129.36,76.22
Ibanda,57.97,58.78,119.03,128.21,99.67,55.73,38.22,81.57,123.39,158.06,144.51,84.84
Kabarole,51.79,52.28,105.23,134.09,106.84,68.44,56.51,98.15,127.56,169.1,135.25,62.56
Isingiro,76.29,68.84,133.77,121.99,113.06,38.87,24.21,66.54,119.51,127.5,144.08,108.61
Lyantonde,65.39,64.51,134.55,147.49,140.7,54.47,36.63,69.35,122.57,149.74,147.88,99.25
Rakai,107.68,92.16,175.57,205.62,208.2,76.63,37.88,61.3,115.92,148.12,162.79,144.22
Lira,22.15,34.12,84.95,155.5,175.01,123.33,141.21,182.82,156.72,185.62,103.69,44.28
Maracha,13.54,27.67,73.76,131.21,127.77,140.07,170.13,180.39,167.39,213.52,114.81,37.42
Otuke,21.87,31.46,77.64,142.66,159.55,115.74,144.78,176.03,135.77,162.17,87.99,38.57
Oyam,20.53,32.36,84.93,156.43,168.56,126.26,138.56,177.08,160.53,186.84,112.97,42.65
Pader,18.42,24.68,71.03,147.47,170.83,138.02,164.03,189.3,139.95,162.93,89.01,30.15
Pallisa,52.37,49.58,116.1,185.32,181.17,117.97,105.3,151.7,135.09,179.13,107.81,71.8
Rubirizi,58.52,58.96,105,110.17,92.9,60.31,41.25,80.52,112.17,135.21,125.97,81.06
Namayingo,91.41,73.46,153.35,205.62,169.9,109.99,57.68,86.93,122.59,152.38,142.5,109.59
Sironko,40.73,44.42,96.5,162.51,174.13,107.98,126.47,157.13,119.11,159.04,80.57,48.67
Mukono,85.43,69.52,151.53,194.62,164.16,90.41,60.96,84.34,124.44,171.11,155.32,109.03
Soroti,32.1,37.53,102.83,164.1,170.62,109.2,127.64,176.64,142.33,188.77,96.54,49.75
Lwengo,70.3,69.07,142.37,161.24,162.73,60.9,37.71,65.76,118.82,146.82,149.01,105.51
Zombo,29.71,37.3,88.34,144.23,125.63,117.74,133.62,178.28,174.92,208.05,137.52,46.39
Serere,45.66,46.57,115.36,180.73,173.85,108.79,106.8,157.6,147.24,193.97,117.98,62.25
Bukedea,39.92,43.38,96.92,161.35,171.76,107.44,124.62,156.08,119.44,159.15,81.63,49.37
Gulu,16.32,25.07,75.34,150.67,168.69,144.65,159.51,186.95,154.17,185.8,101.49,30.7
Nwoya,15.09,25.49,74.26,136.26,137.42,119.81,135.88,163.7,153.64,179.09,112.19,32.95
Amolatar,33.62,42.55,105.59,167.69,161.81,100.08,102.87,152.72,158.83,192.73,126,53.63
Dokolo,31.44,38.74,98.37,163.57,171.57,109.77,121.36,170.67,154.63,189.43,110.29,51.87
Amuria,25.44,33.7,87.07,144.57,155.66,106,134.72,172.1,132.12,169.15,87.73,42.31
Wakiso,79.16,70.23,147.72,188.93,170.21,87.24,57.65,82.77,118.69,161.56,155.73,106.74
Yumbe,7.6,20.07,56.82,113.1,123.48,128.73,158.2,163.77,142.35,182.33,89.3,23.42
Kumi,41.68,42.65,106.1,169.08,170.97,111.54,115.58,157.83,129.84,172.54,95.65,59.67
Agago,18.2,25.28,65.27,132.81,148.84,121.47,155.32,173.78,120.09,136.45,75.94,29.85
Alebtong,23.53,34.94,84.4,150.9,169.5,114.74,138.33,178.84,148.5,178.36,97.06,44.59
Hoima,33.19,38.3,90.32,140.9,118.17,78.06,83.2,116.09,131.58,169.42,148.54,42.25
Busia,74.79,63.4,141.85,214.71,183.53,99.05,66.3,102.42,124.35,174.74,137.52,99.36
Adjumani,8.84,19.76,56.81,115.32,123.03,119.38,142.47,158.17,138.64,170.5,88.5,22.52
Abim,15.68,24.27,62.08,114.91,127.75,102.46,139.41,154.87,98.96,109.9,62.23,28.97
Amudat,22.82,29.04,69.64,119.97,130.4,95.09,130.78,144.8,86.86,112.66,56.93,33.1
Amuru,12.78,22.09,64.94,131.15,141.38,130.67,149.69,170.76,145.65,174.69,96.31,26.13
Apac,29.72,40.06,99.24,163.79,162.06,105.47,112.3,159.31,160.97,192,124.19,51.79
Budaka,52.26,50.22,112.76,181.5,179.64,112.98,107.35,146.55,128.35,173.7,103.96,69.02
Bugiri,74.53,63.9,140.41,208.4,174.66,97.11,66.9,98.97,122.43,176.82,138.75,101.35
Buikwe,94.3,77.35,161.47,212.66,170.51,94.63,59.89,73.79,115.39,169.37,158.56,129.51
